(-)-Ureidoglycolate	NC(=O)N[C@@H](O)C(=O)[O-]	NWZYYCVIOKVTII-SFOWXEAESA-M
Octanoate (n-C8:0)	CCCCCCCC(=O)[O-]	WWZKQHOCKIZLMA-UHFFFAOYSA-M
Octanoyl-ACP (n-C8:0ACP)	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])O[*]	
Octanoyl-CoA (n-C8:0CoA)	CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	KQMZYOXOBSXMII-CECATXLMSA-J
Ornithine	[NH3+]CCC[C@H]([NH3+])C(=O)[O-]	AHLPHDHHMVZTML-BYPYZUCNSA-O
Orotate	O=C([O-])c1cc(=O)[nH]c(=O)[nH]1	PXQPEWDEAKTCGB-UHFFFAOYSA-M
Orotidine 5'-phosphate	O=C([O-])c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O	KYOBSHFOBAOFBF-XVFCMESISA-K
Oxalate	O=C([O-])C(=O)[O-]	MUBZPKHOEPUJKR-UHFFFAOYSA-L
Oxaloacetate	O=C([O-])CC(=O)C(=O)[O-]	KHPXUQMNIQBQEV-UHFFFAOYSA-L
Oxalureate	NC(=O)NC(=O)C(=O)[O-]	UWBHMRBRLOJJAA-UHFFFAOYSA-M
Oxalyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C(=O)[O-]	QVXMZFTWJVBUHP-IBOSZNHHSA-I
Oxamate	NC(=O)C(=O)[O-]	SOWBFZRMHSNYGE-UHFFFAOYSA-M
Oxidized glutathione	[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]	YPZRWBKMTBYPTK-BJDJZHNGSA-L
Oxidized thioredoxin	[*]N[C@@H](CSSC[C@H](N[*])C([*])=O)C([*])=O	
P-Cresol	Cc1ccc(O)cc1	IWDCLRJOBJJRNH-UHFFFAOYSA-N
P1,P4-Bis(5'-adenosyl) tetraphosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	YOAHKNVSNCMZGQ-XPWFQUROSA-J
P1,P4-Bis(5'-guanosyl) tetraphosphate	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	OLGWXCQXRSSQPO-MHARETSRSA-J
P1,P5-Bis(5'-adenosyl) pentaphosphate	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O	OIMACDRJUANHTJ-XPWFQUROSA-I
Palmitoyl-CoA (n-C16:0CoA)	CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	MNBKLUUYKPBKDU-BBECNAHFSA-J
Pantetheine 4'-phosphate	CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS	JDMUPRLRUUMCTL-VIFPVBQESA-L
Periplasmic disulfide isomerase/thiol-disulphide oxidase (oxidized)	[*]	
Periplasmic disulfide isomerase/thiol-disulphide oxidase (reduced)	[*]	
Periplasmic protein disulfide isomerase I (oxidized)	[*]	
Periplasmic protein disulfide isomerase I (reduced)	[*]	
Peroxyaminoacrylate	N/C=C\C(=O)OO	WQKGFGLGYOHJOG-UPHRSURJSA-N
Phenethylamine	[NH3+]CCc1ccccc1	BHHGXPLMPWCGHP-UHFFFAOYSA-O
Phenylacetaldehyde	O=CCc1ccccc1	DTUQWGWMVIHBKE-UHFFFAOYSA-N
Phenylacetic acid	O=C([O-])Cc1ccccc1	WLJVXDMOQOGPHL-UHFFFAOYSA-M
Phenylacetyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)Cc1ccccc1	ZIGIFDRJFZYEEQ-CECATXLMSA-J
Phenylhydantoin	C1=CC=C(C=C1)C2C(=O)NC(=O)N2	NXQJDVBMMRCKQG-UHFFFAOYSA-N
Phenylpropanoate	O=C([O-])CCc1ccccc1	XMIIGOLPHOKFCH-UHFFFAOYSA-M
Phenylpyruvate	O=C([O-])C(=O)Cc1ccccc1	BTNMPGBKDVTSJY-UHFFFAOYSA-M
Phenylureidoacetic acid	CC(=O)NC(=O)NC1=CC=CC=C1	RUPVBKFFZNPEPS-UHFFFAOYSA-N
Phosphate	O=P([O-])([O-])O	NBIIXXVUZAFLBC-UHFFFAOYSA-L
Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCC	SLKDGVPOSSLUAI-PGUFJCEWSA-N
Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCC=CCCCCCC	FXSMMNUNFDTUMS-UHFFFAOYSA-N
Phosphatidylethanolamine (dioctadecanoyl, n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCCCCCCCCCCCCC	LVNGJLRDBYCPGB-LDLOPFEMSA-N
Phosphatidylethanolamine (ditetradec-7-enoyl, n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC[NH3+])OC(=O)CCCCCC=CCCCCCC	GYSOQFNJPRBSQI-UHFFFAOYSA-N
Phosphatidylglycerol (didodecanoyl, n-C12:0)	CCCCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCCC	LHCZDUCPSRJDJT-UHFFFAOYSA-N
Phosphatidylglycerol (dihexadecanoyl, n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OC[C@@H](O)CO)OC(=O)CCCCCCCCCCCCCCC	BIABMEZBCHDPBV-MPQUPPDSSA-M
Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)CO)OC(=O)CCCCCC=CCCCCCC	CBUSDRUVJCLICO-UHFFFAOYSA-M
Phosphatidylglycerol (ditetradecanoyl, n-C14:0)	CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@@H](O)CO)OC(=O)CCCCCCCCCCCCC	BPHQZTVXXXJVHI-AJQTZOPKSA-N
Phosphatidylglycerophosphate (didodecanoyl, n-C12:0)	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCC	LNEADDPQSRWQGI-UHFFFAOYSA-L
Phosphatidylglycerophosphate (dioctadec-11-enoyl, n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCC=CCCCCCC	JUWFWNRVCXDDFB-UHFFFAOYSA-L
Phosphatidylglycerophosphate (ditetradec-7-enoyl, n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCC=CCCCCCC	GDLXTQRUMWAYHJ-UHFFFAOYSA-L
Phosphatidylglycerophosphate (ditetradecanoyl, n-C14:0)	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC(O)COP(=O)([O-])O)OC(=O)CCCCCCCCCCCCC	QNQMHFGHRCVQGM-UHFFFAOYSA-L
Phosphatidylserine (didodecanoyl, n-C12:0)	CCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCCC	OGIRYMOFUJJQND-UHFFFAOYSA-L
Phosphatidylserine (dihexadec-9-enoyl, n-C16:1)	CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCC=CCCCCCC	ZFWZZVIWZXUEAX-UHFFFAOYSA-L
Phosphatidylserine (dihexadecanoyl, n-C16:0)	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCC	KLFKZIQAIPDJCW-GPOMZPHUSA-N
Phosphatidylserine (dioctadec-11-enoyl, n-C18:1)	CCCCCCC=CCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCC=CCCCCCC	HVKLZHWMYVEHMK-UHFFFAOYSA-L
Phosphatidylserine (dioctadecanoyl, n-C18:0)	CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CCCCCCCCCCCCCCCCC	TZCPCKNHXULUIY-RGULYWFUSA-N
Phosphatidylserine (ditetradec-7-enoyl, n-C14:1)	CCCCCCC=CCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCC=CCCCCCC	HKOAHGRIQZVGSE-UHFFFAOYSA-L
Phosphatidylserine (ditetradecanoyl, n-C14:0)	CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCNC(=O)[O-])OC(=O)CCCCCCCCCCCCC	VDYJQKFGBJGFHI-UHFFFAOYSA-L
Phospho-heptosyl-heptosyl-kdo2-lipidA	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O[C@@H]4O[C@H]([C@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	XNYUHCDJIRFEJF-NWMLCVCTSA-F
Phospho-heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@H](O)CO)O3)[C@@H](O[C@H]3O[C@H]([C@@H](O)CO)[C@@H](OP(=O)([O-])[O-])[C@H](O[C@@H]4O[C@H]([C@H](O)CO[C@H]5O[C@H]([C@@H](O)CO)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]4O)[C@@H]3O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	MVYTXVAKEAWEGM-IMFBCOJGSA-D
Phosphoenolpyruvate	C=C(OP(=O)([O-])[O-])C(=O)[O-]	DTBNBXWJWCWCIK-UHFFFAOYSA-K
Phosphoethanolamine KDO(2)-lipid (A)	CCCCCCCCCCCCCC(=O)O[C@H](CCCCCCCCCCC)CC(=O)O[C@H]1[C@H](OP(=O)([O-])[O-])[C@@H](CO[C@]2(C(=O)[O-])C[C@@H](O[C@]3(C(=O)[O-])C[C@@H](O)[C@@H](O)[C@@H]([C@@H](CO)OP(=O)([O-])OCC[NH3+])O3)[C@@H](O)[C@@H]([C@H](O)CO)O2)O[C@@H](OC[C@H]2O[C@H](OP(=O)([O-])[O-])[C@H](NC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H](OC(=O)C[C@H](O)CCCCCCCCCCC)[C@@H]2O)[C@@H]1NC(=O)C[C@@H](CCCCCCCCCCC)OC(=O)CCCCCCCCCCC	GSHAAWZSAOJXLM-RQBQWGHISA-H
Phosphonate	O=[PH]([O-])[O-]	ABLZXFCXXLZCGV-UHFFFAOYSA-L
Phosphotyrosine	[NH3+][C@@H](Cc1ccc(OP(=O)([O-])[O-])cc1)C(=O)[O-]	DCWXELXMIBXGTH-QMMMGPOBSA-L
Porphobilinogen	[NH3+]Cc1[nH]cc(CCC(=O)[O-])c1CC(=O)[O-]	QSHWIQZFGQKFMA-UHFFFAOYSA-M
Potassium	[K+]	NPYPAHLBTDXSSS-UHFFFAOYSA-N
Prephenate	O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1	FPWMCUPFBRFMLH-XGAOUMNUSA-L
Propanal	CCC=O	NBBJYMSMWIIQGU-UHFFFAOYSA-N
Propanoyl phosphate	CCC(=O)OP(=O)([O-])[O-]	FMNMEQSRDWIBFO-UHFFFAOYSA-L
Propanoyl-CoA	CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	QAQREVBBADEHPA-IEXPHMLFSA-J
Propenoyl-CoA	C=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	POODSGUMUCVRTR-IEXPHMLFSA-J
Protein disulfide isomerase II (oxidized)	[*]	
Protein disulfide isomerase II (reduced)	[*]	
Protoheme	C=CC1=C(C)C2=Cc3c(C=C)c(C)c4n3[Fe-2]35n6c(c(C)c(CCC(=O)[O-])c6=CC6=[N+]3C(=C4)C(C)=C6CCC(=O)[O-])=CC1=[N+]25	KABFMIBPWCXCRK-RGGAHWMASA-J
Protoporphyrin	C=CC1=C(C)c2cc3[n-]c(cc4nc(cc5[n-]c(cc1n2)c(C)c5CCC(=O)O)C(CCC(=O)O)=C4C)c(C)c3C=C	PRFMATRBBQRQBM-UJJXFSCMSA-L
Protoporphyrinogen	C=Cc1c2[nH]c(c1C)Cc1[nH]c(c(CCC(=O)[O-])c1C)Cc1[nH]c(c(C)c1CCC(=O)[O-])Cc1[nH]c(c(C)c1C=C)C2	UHSGPDMIQQYNAX-UHFFFAOYSA-L
Psicoselysine	[NH3+][C@@H](CCCC[NH2+]CC(=O)[C@H](O)[C@H](O)[C@H](O)CO)C(=O)[O-]	BFSYFTQDGRDJNV-CDEVMZEPSA-O
Putrescine	[NH3+]CCCC[NH3+]	KIDHWZJUCRJVML-UHFFFAOYSA-P
Pyridoxal	Cc1ncc(CO)c(C=O)c1O	RADKZDMFGJYCBB-UHFFFAOYSA-N
Pyridoxal 5'-phosphate	Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O	NGVDGCNFYWLIFO-UHFFFAOYSA-L
Pyridoxamine	Cc1ncc(CO)c(C[NH3+])c1O	NHZMQXZHNVQTQA-UHFFFAOYSA-O
Pyridoxamine 5'-phosphate	Cc1ncc(COP(=O)([O-])[O-])c(C[NH3+])c1O	ZMJGSOSNSPKHNH-UHFFFAOYSA-M
Pyridoxine	Cc1ncc(CO)c(CO)c1O	LXNHXLLTXMVWPM-UHFFFAOYSA-N
Pyridoxine 5'-phosphate	Cc1ncc(COP(=O)([O-])[O-])c(CO)c1O	WHOMFKWHIQZTHY-UHFFFAOYSA-L
Pyruvate	CC(=O)C(=O)[O-]	LCTONWCANYUPML-UHFFFAOYSA-M
Quinate	O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1	AAWZDTNXLSGCEK-WYWMIBKRSA-M
Quinolinate	O=C([O-])c1cccnc1C(=O)[O-]	GJAWHXHKYYXBSV-UHFFFAOYSA-L
Reduced	Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c1[n-]c(=O)[nH]c(=O)c1N2	PFFFVMLSJAOGEY-SCRDCRAPSA-K
Reduced glutathione	[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]	RWSXRVCMGQZWBV-WDSKDSINSA-M
Reduced riboflavin	Cc1cc2c(cc1C)N(C[C@H](O)[C@H](O)[C@H](O)CO)C1=NC(=O)NC(=O)C1N2	UTKDOUCGQVLJIN-PIGZVRMJSA-N
Rhamanosyl-N-acetylglucosamyl-undecaprenyl diphosphate	CC(=O)NC1C(OP(=O)([O-])OP(=O)([O-])OC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)OC(CO)C(O)C1OC1OC(C)C(O)C(O)C1O	ORYXFVQODWYDMG-JXWMOMLFSA-L
Riboflavin	Cc1cc2nc3c(=O)[n-]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C	AUNGANRZJHBGPY-SCRDCRAPSA-M
Rifampin	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c([O-])c4c(O)c(c(/C=N/N5CC[NH+](C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C	JQXXHWHPUNPDRT-WLSIYKJHSA-N
S-Adenosyl-4-methylthio-2-oxobutanoate	C[S+](CCC(=O)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	UOKVQQMBGVMXPU-CJPDYEHRSA-N
S-Adenosyl-L-homocysteine	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O	ZJUKTBDSGOFHSH-WFMPWKQPSA-N
S-Adenosyl-L-methionine	C[S@@+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	MEFKEPWMEQBLKI-FCKMPRQPSA-O
S-Adenosylmethioninamine	C[S+](CCC[NH3+])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	ZUNBITIXDCPNSD-LSRJEVITSA-O
S-Formylglutathione	[NH3+][C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)[O-])C(=O)[O-]	FHXAGOICBFGEBF-BQBZGAKWSA-M
S-Methyl-L-methionine	C[S+](C)CC[C@H]([NH3+])C(=O)[O-]	YDBYJHTYSHBBAU-YFKPBYRVSA-O
S-Ribosyl-L-homocysteine	N[C@@H](CCSC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O)C(=O)O	IQFWYNFDWRYSRA-OEQWSMLSSA-N
Sarcosine	C[NH2+]CC(=O)[O-]	FSYKKLYZXJSNPZ-UHFFFAOYSA-N
Sedoheptulose 1,7-bisphosphate	O=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	OKHXOUGRECCASI-SHUUEZRQSA-J
Sedoheptulose 7-phosphate	O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-]	JDTUMPKOJBQPKX-GBNDHIKLSA-L
Selenate	O=[Se](=O)([O-])[O-]	QYHFIVBSNOWOCQ-UHFFFAOYSA-L
Selenide	[Se-2]	HMUBNCUQSSTAIB-UHFFFAOYSA-N
Selenite	O=[Se]([O-])[O-]	MCAHWIHFGHIESP-UHFFFAOYSA-L
Selenodiglutathione	[NH3+][C@@H](CCC(=O)N[C@@H](CS[Se]SC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-]	GJEZZQVPWMCGSB-BJDJZHNGSA-L
Selenophosphate	[O-]P([O-])([O-])=[Se]	JRPHGDYSKGJTKZ-UHFFFAOYSA-K
Shikimate	O=C([O-])C1=C[C@@H](O)[C@@H](O)[C@H](O)C1	JXOHGGNKMLTUBP-HSUXUTPPSA-M
Shikimate 5-phosphate	O=C([O-])C1=C[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@H](O)C1	QYOJSKGCWNAKGW-PBXRRBTRSA-K
Silver	[Ag+]	FOIXSVOLVBLSDH-UHFFFAOYSA-N
Siroheme	C[C@@]1(CC(=O)[O-])C2=CC3=[N+]4C(=Cc5c(CCC(=O)[O-])c(CC(=O)[O-])c6n5[Fe-2]45N2C(=CC2=[N+]5C(=C6)[C@@H](CCC(=O)[O-])[C@]2(C)CC(=O)[O-])[C@H]1CCC(=O)[O-])C(CCC(=O)[O-])=C3CC(=O)[O-]	DLKSSIHHLYNIKN-QIISWYHFSA-D
Sirohydrochlorin	C[C@@]1(CC(=O)[O-])c2cc3[nH]c(cc4nc(cc5[nH]c(cc(n2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]5CCC(=O)[O-])C(CC(=O)[O-])=C4CCC(=O)[O-])c(CCC(=O)[O-])c3CC(=O)[O-]	KWIZRXMMFRBUML-AHGFGAHVSA-F
Sn-Glycero-3-phospho-1-inositol	O=P([O-])(OC[C@H](O)CO)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	BMVUIWJCUQSHLZ-UJGXJMNGSA-M
Sn-Glycero-3-phosphocholine	C[N+](C)(C)CCOP(=O)([O-])OC[C@H](O)CO	SUHOQUVVVLNYQR-MRVPVSSYSA-N
Sn-Glycero-3-phosphoethanolamine	NCCOP(=O)(O)OC[C@@H](O)CO	JZNWSCPGTDBMEW-YFKPBYRVSA-N
Sodium	[Na+]	FKNQFGJONOIPTF-UHFFFAOYSA-N
Spermidine	[NH3+]CCCC[NH2+]CCC[NH3+]	ATHGHQPFGPMSJY-UHFFFAOYSA-Q
Stearoyl-CoA (n-C18:0CoA)	CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	SIARJEKBADXQJG-LFZQUHGESA-J
Succinate	O=C([O-])CCC(=O)[O-]	KDYFGRWQOYBRFD-UHFFFAOYSA-L
Succinic semialdehyde	O=CCCC(=O)[O-]	UIUJIQZEACWQSV-UHFFFAOYSA-M
Succinyl-CoA	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-]	VNOYUJKHFWYWIR-ITIYDSSPSA-I
Sucrose	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	CZMRCDWAGMRECN-UGDNZRGBSA-N
Sucrose 6-phosphate	O=P([O-])([O-])OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O	PJTTXANTBQDXME-UGDNZRGBSA-L
Sulfate	O=S(=O)([O-])[O-]	QAOWNCQODCNURD-UHFFFAOYSA-L
Sulfite	O=[SH](=O)O	BDHFUVZGWQCTTF-UHFFFAOYSA-N
Sulfoacetate	O=C([O-])CS(=O)(=O)[O-]	AGGIJOLULBJGTQ-UHFFFAOYSA-L
Sulfur dioxide	O=S=O	RAHZWNYVWXNFOC-UHFFFAOYSA-N
Superoxide anion	[O]O	OUUQCZGPVNCOIJ-UHFFFAOYSA-N
TRNA (Glu)	[*]OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	
Taurine	[NH3+]CCS(=O)(=O)[O-]	XOAAWQZATWQOTB-UHFFFAOYSA-N
Tetracycline	C[NH+](C)[C@@H]1C([O-])=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12	OFVLGDICTFRJMM-WESIUVDSSA-N
Tetradecanoyl-CoA (n-C14:0CoA)	CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	DUAFKXOFBZQTQE-QSGBVPJFSA-J
Tetradecenoyl-CoA (n-C14:1CoA)	CCCCCCC=CCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]	JPIHVKICKVPFFY-QSGBVPJFSA-J
Tetrahydromonapterin	Nc1nc2c(c(=O)[nH]1)NC([C@H](O)[C@@H](O)CO)CN2	XHIXPVCTDRNTTC-YQVKZWHSSA-N
Thiamin	Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.[Cl-]	MYVIATVLJGTBFV-UHFFFAOYSA-M
Thiamin monophosphate	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])[O-])c2C)c(N)n1	HZSAJDVWZRBGIF-UHFFFAOYSA-M
Thiamine diphosphate	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1	AYEKOFBPNLCAJY-UHFFFAOYSA-L
Thiocyanate	N#C[S-]	ZMZDMBWJUHKJPS-UHFFFAOYSA-M
Thiosulfate	O=S(=O)([O-])S	DHCDFWKWKRSZHF-UHFFFAOYSA-M
